,Code,Title,Credits,ResidentPrerequisites,OnlinePrerequisites,RegistrationRestrictions,Offered,Notes
0,ASCS 100,Foundations for Academic Success,3,,,,Online,
1,ASCS 101,Theory for Academic Success,1,,,,Residential and Online,
2,ASCS 103,Practical Application for Academic Success,1,,,,Residential,
3,ASCS 104,College Transition and Study,3,,,,Residential,
4,ASCS 105,Accountability for Academic Success,1,,,,Residential,
5,ASCS 301,Soft Skills Training for Employment Success,1,,,,Residential and Online,
6,ACCT 209,Survey of Accounting and Finance,3,,,,Residential and Online,
7,ACCT 211,Financial Principles,3,,,Residential students are only able to take this course residentially,Residential and Online,
8,ACCT 212,Managerial Principles,3,([ACCT 211]),,,Residential and Online,
9,ACCT 299,Internship,0,,,"Sophomore status, 2.00 GPA, two courses in major, declared major, not more than one CSER behind",Residential,
10,ACCT 301,Intermediate Financial Accounting I,3,([ACCT 212]),,,Residential and Online,
11,ACCT 302,Intermediate Financial Accounting II,3,([ACCT 301]),,,Residential and Online,
12,ACCT 311,Corporate Accounting,3,([ACCT 212]),,,Residential and Online,
13,ACCT 332,Accounting and Control,3,([ACCT 301] and [BUSI 201]),,,Residential and Online,
14,ACCT 340,Accounting Ethics,3,,([ACCT 212]),,Online,
15,ACCT 350,Accounting Ethics and Professional Responsibility,3,([ACCT 212]),,Residential students are only able to take this course residentially,Residential,
16,ACCT 370,Financial Statement Analysis,3,([ACCT 212]),,,Residential and Online,
17,ACCT 401,Individual Taxation,3,([ACCT 212]),,,Residential and Online,
18,ACCT 402,Consolidations and Advanced Accounting Topics,3,([ACCT 302]),,,Residential and Online,
19,ACCT 403,Fund Accounting for Government and Not for Profits,3,([ACCT 402]),,,Residential and Online,
20,ACCT 404,Assurance and Attestation,3,([ACCT 302]),,,Residential and Online,
21,ACCT 406,Principles of Forensic Accounting,3,([ACCT 404]),,,Residential and Online,
22,ACCT 409,Financial Reporting for Nonprofit Entities,3,([BUSI 320]),,,Residential,
23,ACCT 412,Corporate/Partnership/Estate Taxation,3,([ACCT 401]),,,Residential and Online,
24,ACCT 432,IT Audit,3,,([ACCT 332] and [ACCT 404]),,Online,
25,ACCT 470,Advanced Data Analysis and Reporting,3,([ACCT 332]),,,Residential and Online,
26,ACCT 495,Directed Research,1-3,,,Written permission of department chair and consent of instructor,,
27,ACCT 497,Special Topics in Accounting,1-3,,,,,
28,ACCT 499,Internships,1-6,,,Junior or Senior standing; required GPA,Residential and Online,
29,AIRS 001,Leadership Laboratory,0,,,,Residential,
30,AIRS 110,Heritage and Values I,1,,,,Residential,
31,AIRS 120,Heritage and Values II,1,,,,Residential,
32,AIRS 210,Team and Leadership Fundamentals I,1,,,,Residential,
33,AIRS 220,Team and Leadership Fundamentals II,1,,,,Residential,
34,AIRS 310,Leading People and Effective Communication I,3,,,,Residential,
35,AIRS 320,Leading People and Effective Communication II,3,,,,Residential,
36,AIRS 410,National Security/Commissioning Preparation I,3,,,,Residential,
37,AIRS 420,National Security/Commissioning Preparation II,3,,,,Residential,
38,ASLI 101,American Sign Language I,3,,,,Residential,
39,ASLI 102,American Sign Language II,3,([ASLI 101]),,,Residential,
40,ASLI 201,American Sign Language III,3,([ASLI 102]),,,Residential,
41,ASLI 202,American Sign Language IV,3,([ASLI 201]),,,Residential,
42,ASLI 212,Theory and Application of Fingerspelling and Numbers,3,([ASLI 102]),,,Residential,
43,ASLI 302,American Sign Language V,3,([ASLI 202]),,,Residential,
44,ASLI 310,Deaf Studies,3,,,,Residential,
45,ASLI 313,Introduction to Interpreting,3,([ASLI 201] and [ASLI 310]{concurrent}),,,Residential,
46,ASLI 317,American Sign Language for Interpreters,3,([ASLI 302] and [ASLI 313]),,,Residential,
47,ASLI 320,Sociocultural Linguistic Processing,3,([ASLI 313]),,,Residential,
48,ASLI 401,English to ASL Interpreting I,3,([ASLI 302] and [ASLI 320]),,,Residential,
49,ASLI 402,English to ASL Interpreting II,3,([ASLI 302] and [ASLI 401]),,,Residential,
50,ASLI 403,ASL to English Interpreting I,3,([ASLI 302] and [ASLI 320]),,,Residential,
51,ASLI 404,ASL to English Interpreting II,3,([ASLI 403]),,,Residential,
52,ASLI 405,ASL Linguistics,3,([ASLI 302] and ([LING 213] or [LING 301])),,,Residential,
53,ASLI 410,"Interpreter Professional Identities, Function & Ethics and Current Trends",3,([ASLI 310] and [ASLI 313] and [ASLI 320] and ([RSCH 201] or Inquiry Research with a score of 80 or Research Assessment with a score of 80 or Research (prior to 2017-2018) with a score of 80)),,,Residential,
54,ASLI 498,Practicum,3,([ASLI 403] and [ASLI 404] and [ASLI 410] and VQAS Written Exam with a score of 5),,,Residential,
55,ASLI 499,Internship,3,([ASLI 498] and [ASLI 405] and VQAS Performance Exam with a score of 5),,,Residential,
56,APOL 120,Apologetics,3,,,,Online,Willmington School of the Bible course
57,APOL 201,Apologetics and Cultural Engagement,3,,,,Residential,
58,APOL 220,Introduction to Apologetics,3,,,,Online,
59,APOL 250,"Faith, Reason, and the Search for Meaning",3,,,,Residential,
60,APOL 310,Apologetics in a Secular Age,3,,([APOL 220]),,Online,
61,APOL 311,Foundational Issues in Apologetics,3,([APOL 201]),,,Residential,
62,APOL 320,Apologetics and the Gospel,3,,([APOL 220]),,Online,
63,APOL 325,Christianity and the Cults,3,,,,Residential,
64,APOL 330,C.S. Lewis and the Apologetic Imagination,3,,([APOL 220]),,Online,
65,APOL 431,Introduction to Islam,3,,,,Residential,
66,APOL 480,Biblical Studies and Apologetics,3,([APOL 201]),,,Residential,
67,APOL 497,Special Topics in Apologetics,"1,3",,,,Residential,
68,ARAB 101,Elementary Arabic I,3,,,,Residential,
69,ARAB 102,Elementary Arabic II,3,([ARAB 101]),,,Residential,
70,ARAB 201,Intermediate Arabic I,3,([ARAB 102]),,,Residential,
71,ARAB 202,Intermediate Arabic II,3,([ARAB 201]),,,Residential,
72,ARAB 301,Advanced Conversation and Composition I,3,([ARAB 202]),,,Residential,
73,ARAB 302,Advanced Conversation and Composition II,3,([ARAB 301]),,,Residential,
74,ATTR 205,Musculoskeletal Terminology and Clinical Documentation,2,,,,Residential,
75,ATTR 330,Clinical Musculoskeletal Anatomy,3,([BIOL 213] and [BIOL 214] and [BIOL 215] and [BIOL 216]),,,Residential,
76,ATTR 331,Clinical Musculoskeletal Anatomy Lab,1,([BIOL 213] and [BIOL 214] and [BIOL 215] and [BIOL 216]),,,Residential,
77,ATTR 335,Musculoskeletal Injury Assessment,3,([ATTR 330] and [ATTR 331]),,,Residential,
78,ATTR 336,Musculoskeletal Injury Assessment Laboratory,1,([ATTR 330] and [ATTR 331]),,,Residential,
79,ATTR 406,Corrective Exercises and Rehabilitation Theory,3,([ATTR 335] and [ATTR 336]),,,Residential,
80,ATTR 425,Allied Healthcare Evidence-based Research Analysis,3,([MATH 201] and [EXSC 320]),,,Residential,
81,ATHL 001,Men's Basketball,1,,,,Residential,
82,ATHL 011,Baseball,1,,,,Residential,
83,ATHL 022,Football,1,,,,Residential,
84,ATHL 024,Women's Soccer,1,,,,Residential,
85,ATHL 034,Men's Soccer,1,,,,Residential,
86,ATHL 035,Indoor Track,1,,,,Residential,
87,ATHL 036,Men's/Women's Cross Country,1,,,,Residential,
88,ATHL 037,Outdoor Track,1,,,,Residential,
89,ATHL 041,Women's Basketball,1,,,,Residential,
90,ATHL 042,Women's Volleyball,1,,,,Residential,
91,ATHL 043,Women's Softball,1,,,,Residential,
92,ATHL 044,Golf,1,,,,Residential,
93,ATHL 045,Tennis,1,,,,Residential,
94,ATHL 056,Lacrosse,1,,,,Residential,
95,ATHL 057,Women's Swimming,1,,,,Residential,
96,ATHL 058,Women's Field Hockey,1,,,,Residential,
97,ATHL 200,Cheerleading,1,,,,Residential,
98,AVIA 101,Exploring Aviation,3,,,,Residential,
99,AVIA 102,Aviation Foundations,3,,,,Residential and Online,
100,AVIA 104,Flight Operations Orientation,3,([AVIA 225] and [AVIA 322]{concurrent}),,FAA Private Pilot Certificate required,Residential,
101,AVIA 105,Aviation Survey,3,,([AVIA 210] and [AVIA 215] and [AVIA 220] and [AVIA 225]) or ([AVIA 216] and [AVIA 220] and [AVIA 225]),Private Pilot Certificate,Online,
102,AVIA 201,Principles of Ground for Non-Flight Majors,3,,,,Online,This course is specifically designed for non-flight students.
103,AVIA 210,Private Ground I,3,(([ENGL 100] or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222] or SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70) and (Placement Score-Math with a score of 75 or [MATH 110] or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217])),,,Residential,
104,AVIA 215,Private Ground II,3,([AVIA 210] and [AVIA 220]{concurrent}),,,Residential,
105,AVIA 216,Private Ground,4,([AVIA 220]{concurrent}),,,Online,Students must choose between the following options to count towards Private Ground course training: (AVIA 210andAVIA 215) orAVIA 216. Students must enroll inAVIA 220as a required co-requisite.
106,AVIA 220,Private Flight I,3,((([ENGL 100] or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222] or SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70) and (Placement Score-Math with a score of 75 or [MATH 110] or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217])) and [AVIA 210] and [AVIA 215]{concurrent} and VA Medical Certification with a score of 10),([AVIA 216]{concurrent} and VA Medical Certification with a score of 10),"Residential: To be eligible to take this course, students must score at least a ""C"" on the Liberty University English and Math Assessment Tests and be eligible to takeENGL 101andMATH 115or higher. Students who are required to completeENGL 100,MATH 100, orMATH 110are not eligible forAVIA 220enrollment. The residential course provided under Liberty University’s 141 Air Agency Certificate forAVIA 220. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding. Online: Student must seek co-requisite enrollment intoAVIA 216.",Residential and Online,"This course requires in-person flight training for all programs, including the B.S. in Aeronautics, B.S. in Aviation, B.S. in Aviation Technology, and B.S. in Unmanned Aircraft Operations.  For course fees, please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/. For VA approved flight hours by location, click: https://www.liberty.edu/vaflighthours. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding."
107,AVIA 225,Private Flight II,3,([AVIA 220] and VA Medical Certification with a score of 10),([AVIA 216] and [AVIA 220] and VA Medical Certification with a score of 10),,Residential and Online,"This course requires in-person flight training for all programs, including the B.S. in Aeronautics, B.S. in Aviation, B.S. in Aviation Technology, and B.S. in Unmanned Aircraft Operations.  For course fees, please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/. For VA approved flight hours by location, click: https://www.liberty.edu/vaflighthours. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding."
108,AVIA 227,Introduction to Risk Management,3,,([AVIA 225]),Earned Private Pilot Certificate,Online,
109,AVIA 230,Unmanned Aerial Systems,3,,,,Residential and Online,
110,AVIA 235,Small Unmanned Aerial System Ground,3,([AVIA 230]{concurrent}),,,Residential,
111,AVIA 236,Small UAS Flight,1,,,,Residential,
112,AVIA 237,Small UAS Advanced Flight,3,([AVIA 235] and [AVIA 236]),,,Residential,
113,AVIA 240,GPS Navigation,1,,,,Residential,
114,AVIA 241,GPS Instrument Navigation,1,([AVIA 240]{concurrent}),,,Residential,
115,AVIA 245,Aviation Leadership,3,,,,Residential and Online,
116,AVIA 250,Introduction to Space Flight,3,,,,Residential,
117,AVIA 299,Internship,0,,,,Residential,
118,AVIA 300,Aviation Safety,3,,((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and ([AVIA 201] or [AVIA 215] or [AVIA 216])),,Residential and Online,
119,AVIA 301,Remote Pilot Ground,3,,((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and [AVIA 230]),,Online,
120,AVIA 302,Airplane Aerodynamics,3,,,,,
121,AVIA 304,Aviation History,3,,,,Online,
122,AVIA 305,Airplane Aerodynamics,3,((([MATH 128] or [MATH 130] or [MATH 131])) and [PHYS 101]),(SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and (([PHYS 201] or [PHYS 202] or [PHYS 231] or [PHYS 232] or [PHYS 305]) or ([PHYS 101] and [PHYS 103])),,Residential and Online,
123,AVIA 306,Non-Profit Aviation Management,3,,(([AVIA 201] or [AVIA 215] or [AVIA 216]) and (SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217])),,Online,
124,AVIA 308,Overview of Spaceflight and Space Operations,3,,,,Residential,
125,AVIA 310,Instrument Ground,3,([AVIA 225] and [AVIA 322]{concurrent}),([AVIA 225] and [AVIA 320]{concurrent}),Earned Private Pilot Certificate,Residential and Online,
126,AVIA 311,Instrumental Lab Theory,1,([AVIA 225]),,,Residential,
127,AVIA 312,Aviation Safety Programs,3,([AVIA 102]),,,Residential,
128,AVIA 314,Principles of Aviation Administration,3,,((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and ([AVIA 102] or [AVIA 105])),,Residential and Online,
129,AVIA 315,Commercial Ground,3,([AVIA 310] and [AVIA 320]{concurrent}),([AVIA 310] and [AVIA 320] and [AVIA 325]{concurrent}),Earned Private Pilot Certificate; Residential students must takeAVIA 320concurrently withAVIA 315.,Residential and Online,
130,AVIA 320,Instrument Flight,3,(((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 100] or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 110] or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217])) and [AVIA 315]{concurrent} and [AVIA 322] and [AVIA 342]{concurrent} and VA Medical Certification with a score of 10),([AVIA 310]{concurrent} and [AVIA 225] and VA Medical Certification with a score of 10),Residential: Earned Private Pilot Certificate. Residential students must takeAVIA 315concurrently withAVIA 320. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding. Online: Private Earned Pilot Certificate required. Required co-requisite enrollment intoAVIA 310. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding.,Residential and Online,"This course requires in-person flight training for all programs, including the B.S. in Aeronautics, B.S. in Aviation, B.S. in Aviation Technology, and B.S. in Unmanned Aircraft Operations.  For course fees, please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/. For VA approved flight hours by location, click: https://www.liberty.edu/vaflighthours"
131,AVIA 322,Commercial Flight I: Accelerated,3,(((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 100] or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 110] or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217])) and [AVIA 104]{concurrent} and [AVIA 225] and [AVIA 310]{concurrent} and VA Medical Certification with a score of 10),,FAA Private Pilot Certificate. Residential students must takeAVIA 104if their private pilot certificate was not earned at LU residential campus. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding.,Residential,For lab fees and flight hours please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/
132,AVIA 323,UAS Avionics & Powerplants,3,,,,Residential,
133,AVIA 324,Commercial Flight II: Accelerated,3,([AVIA 315] and [AVIA 320] and [AVIA 322] and VA Medical Certification with a score of 10),,Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding.,Residential,For lab fees and flight hours please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/
134,AVIA 325,Commercial Flight I,3,(([AVIA 225] or [AVIA 104] and [AVIA 342]) and (SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 100] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 110] or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and VA Medical Certification with a score of 10 ),([AVIA 310] and [AVIA 315]{concurrent} and [AVIA 320] and VA Medical Certification with a score of 10),Online: Private Pilot Certificate and Earned Instrument Rating. Required co-requisite isAVIA 315. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding.,Residential and Online,"This course requires in-person flight training for all programs, including the B.S. in Aeronautics, B.S. in Aviation, B.S. in Aviation Technology, and B.S. in Unmanned Aircraft Operations.  For course fees, please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/. For VA approved flight hours by location, click: https://www.liberty.edu/vaflighthours"
135,AVIA 326,Commercial Flight II,3,(([AVIA 322] or [AVIA 325]) and [AVIA 320] and VA Medical Certification with a score of 10 ),([AVIA 315] and [AVIA 325] and VA Medical Certification with a score of 10),Online: Private Pilot Certificate and Earned Instrument Rating. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding.,Residential and Online,"This course requires in-person flight training for all programs, including the B.S. in Aeronautics, B.S. in Aviation, B.S. in Aviation Technology, and B.S. in Unmanned Aircraft Operations.  For course fees, please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/. For VA approved flight hours by location, click: https://www.liberty.edu/vaflighthours"
136,AVIA 327,Commercial Flight III,3,(([AVIA 324] or [AVIA 326]) and [AVIA 315] and VA Medical Certification with a score of 10 ),([AVIA 315] and [AVIA 325] and [AVIA 326] and VA Medical Certification with a score of 10),Online: Private Pilot Certificate and Earned Instrument Rating. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding.,Residential and Online,"This course requires in-person flight training for all programs, including the B.S. in Aeronautics, B.S. in Aviation, B.S. in Aviation Technology, and B.S. in Unmanned Aircraft Operations.  For course fees, please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/. For VA approved flight hours by location, click: https://www.liberty.edu/vaflighthours"
137,AVIA 331,"Commercial Pilot, Single Engine Land Add On",1,([AVIA 327] and VA Medical Certification with a score of 10),,"Residential: Earned Commercial Pilot Certificate. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding. Online: Private Pilot Certificate, Earned Instrument Rating, and Commercial Pilot Certificate. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding.",Residential and Online,"This course requires in-person flight training for all programs, including the B.S. in Aeronautics, B.S. in Aviation, B.S. in Aviation Technology, and B.S. in Unmanned Aircraft Operations.  For course fees, please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/. For VA approved flight hours by location, click: https://www.liberty.edu/vaflighthours"
138,AVIA 335,Medium UAS Ground and Flight I,3,([AVIA 225] or [AVIA 236] or [AVIA 301] or [AVMT 350]),,Junior/Senior status,Residential,
139,AVIA 340,Aviation Weather,3,([AVIA 210]),((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and ([AVIA 201] or [AVIA 215] or [AVIA 216])),,Residential and Online,
140,AVIA 342,GPS Navigation,3,([AVIA 225]),((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and [AVIA 225]),Earned Private Pilot Certificate,Residential and Online,
141,AVIA 350,Airline Operations,3,([AVIA 310] and [AVIA 320]),([AVIA 310] and [AVIA 320] and (SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217])),AVIA 310andAVIA 320may be replaced as prerequisites if the student has an Earned Instrument Rating,Residential and Online,
142,AVIA 355,Air Carrier Management,3,,((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and ([AVIA 201] or [AVIA 215] or [AVIA 216])),,Residential and Online,
143,AVIA 360,Corporate and Business Aviation,3,,((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and ([AVIA 201] or [AVIA 215] or [AVIA 216])),,Residential and Online,
144,AVIA 361,Airport Management,3,,,,Residential,
145,AVIA 400,Aviation Human Factors,3,([AVIA 300]),((SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70 or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222]) and (Placement Score-Math with a score of 75 or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and ([AVIA 201] or [AVIA 215] or [AVIA 216]) and [AVIA 300]),,Residential and Online,
146,AVIA 401,Fundamentals of Instructing,3,,([AVIA 326]),,Online,
147,AVIA 402,Advanced Avionics and Flight Management Interfaces,3,,(([ENGL 100] or [ENGL 101] or [ENGL 102] or [ENGL 201] or [ENGL 202] or [ENGL 215] or [ENGL 216] or [ENGL 221] or [ENGL 222] or SAT Test Writing/Language with a score of 28 or ACT English with a score of 19 or Placement Score-English with a score of 70) and (Placement Score-Math with a score of 75 or [MATH 110] or [MATH 114] or [MATH 115] or [MATH 116] or [MATH 117] or [MATH 121] or [MATH 122] or [MATH 125] or [MATH 126] or [MATH 128] or [MATH 130] or [MATH 131] or [MATH 201] or [MATH 217]) and [AVIA 327] and [AVIA 342]),,Online,
148,AVIA 405,Advanced Aerodynamics,3,([AVIA 305]),,,Residential,
149,AVIA 409,Safety Management Systems,3,,,,Residential,
150,AVIA 410,Flight and Ground Instructor Theory,3,([AVIA 315]),([AVIA 327] and [AVIA 401] and [AVIA 420]{concurrent}),,Residential and Online,
151,AVIA 419,Aviation Safety Data Analysis,3,,,,Residential,
152,AVIA 420,Flight Instructor Flight,3,([AVIA 324] and [AVIA 410] and [AVIA 423]{concurrent} and VA Medical Certification with a score of 10),([AVIA 327] and [AVIA 401] and VA Medical Certification with a score of 10),"Residential: Earned Commercial Pilot Certificate. Residential course registration forAVIA 420is completed by the Chairman of the Flight Science Department pending student selection via theAVIA 420application and review process conducted during the student’s participation inAVIA 410. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding. Online: Private Pilot Certificate, Earned Instrument Rating and Commercial Pilot Certificate. Current FAA 2nd class medical required for students utilizing Department of Veterans Affairs funding.",Residential and Online,"This course requires in-person flight training for all programs, including the B.S. in Aeronautics, B.S. in Aviation, B.S. in Aviation Technology, and B.S. in Unmanned Aircraft Operations.  For course fees, please click: https://www.liberty.edu/aeronautics/flight-course-lab-fees/. For VA approved flight hours by location, click: https://www.liberty.edu/vaflighthours"
