,Code,Title,Credits,ResidentPrerequisites,OnlinePrerequisites,RegistrationRestrictions,Offered,Notes
385,BUSI 376,"Legal, Finance, and Insurance",3,([BUSI 301] and [BUSI 370]),,,Residential and Online,
386,BUSI 380,Principles of Real Estate,3,([BUSI 320]),,,Residential and Online,
387,BUSI 390,Business Common Professional Components,3,,,Sophomore Status,Online,
388,BUSI 397,Construction Project Supervision Lab,1,([CRFT 101]),,,Residential,
389,BUSI 400,Strategic Planning/Business Policy,3,(([BUSI 205] or Research Methods-BUS230/MAT201 with a score of 5) and [BUSI 320]),([BUSI 240] and [BUSI 301] and ([BUSI 303] or [ACCT 370]) and [BUSI 320] and [BUSI 330]),,Residential and Online,Residential:BUSI 205will be waived for students on Degree Completion Plans prior to the catalog year of 2022-23 that have already takenBUSI 230orMATH 201
390,BUSI 405,Forecasting and Predictive Analytics,3,([BUSI 205]),,,Residential and Online,
391,BUSI 408,Adaptive Project Management,3,([BUSI 313]),,,Residential and Online,
392,BUSI 409,Nonprofit Management and Governance,3,,,,Residential and Online,
393,BUSI 411,Operations Strategy,3,(([BUSI 205] or Research Methods-BUS230/MAT201 with a score of 5) and [ACCT 212] and [BUSI 201]),(([BUSI 205] or Research Methods-BUS230/MAT201 with a score of 5) and [ACCT 212]),,Residential and Online,BUSI 205will be waived for students on Degree Completion Plans prior to the catalog year of 2022-23 that have already takenBUSI 230orMATH 201
394,BUSI 414,Project Management I,3,([BUSI 313]),,,Residential and Online,
395,BUSI 415,Advanced Project Management,3,([BUSI 313]),,,Residential and Online,
396,BUSI 416,Leading Project Teams,3,([BUSI 313]),,,Residential and Online,
397,BUSI 417,Studies in Information Security,3,,,,,
398,BUSI 418,Research and Evidence Based Practice in Healthcare,3,,,,Residential and Online,
399,BUSI 419,Management of Quality Improvement and Outcomes,3,,,,Online,
400,BUSI 420,Investments,3,([BUSI 320]),,,Residential and Online,
401,BUSI 421,Insurance and Risk Management,3,,,,Residential and Online,
402,BUSI 422,Real Estate Finance and Investment,3,([BUSI 301] and [BUSI 320]),,,Residential and Online,
403,BUSI 423,Franchising,3,,,,Online,
404,BUSI 424,E-Commerce,3,,,,Online,
405,BUSI 425,Family Business Management,3,,,,Residential and Online,
406,BUSI 426,Property Management and Development,3,([BUSI 315]),,,Residential,
407,BUSI 427,Team Dynamics,3,,([BUSI 240] or [BUSI 340]),,Online,
408,BUSI 428,Strategic Management and Marketing in Healthcare,3,([BUSI 344] and [BUSI 418]),,,Residential and Online,
409,BUSI 429,Healthcare Economics,3,,,,Online,
410,BUSI 430,Promotion Strategy,3,([BUSI 330]),,,Residential and Online,
411,BUSI 431,Sales Management and Professional Selling,3,([BUSI 330]),,,Residential and Online,
412,BUSI 432,Retail Management,3,,,,,
413,BUSI 433,Strategic Marketing,3,([BUSI 331]),,,Residential and Online,
414,BUSI 434,International Business,3,,,,,
415,BUSI 435,Small Business Entrepreneurship,3,,,Junior/Senior Status,Residential and Online,
416,BUSI 436,Digital Marketing in a Virtual World,3,([BUSI 330]),,,Residential and Online,
417,BUSI 437,Global Marketing,3,,([BUSI 330]),,Online,
418,BUSI 438,Marketing Brand Management,3,,([BUSI 330]),,Online,
419,BUSI 439,Conversion and Optimization,3,([BUSI 436]),,,Residential and Online,
420,BUSI 440,Compensation Management,3,([BUSI 342]),,,Residential and Online,
421,BUSI 442,Customer Retention Through Digital Marketing,3,([BUSI 436]),,,Residential and Online,
422,BUSI 443,Workforce Planning and Employment,3,([BUSI 342]),,,Residential and Online,
423,BUSI 444,Human Resource Development,3,([BUSI 342]),,,Residential and Online,
424,BUSI 446,Retailing and Category Management,3,([BUSI 330]),,,Residential and Online,
425,BUSI 447,Digital and Web Analytics,3,([BUSI 331]),,,Residential and Online,
426,BUSI 448,Managing Quality Improvement in Healthcare Systems,3,(([BUSI 311] or [BUSI 344]) and [BUSI 305]),,Residential: Residential students are only able to take this course residentially,Residential,
427,BUSI 449,Healthcare Management and Data Analysis,3,(([BUSI 311] or [BUSI 344]) and [BUSI 305]),,Residential: Residential students are only able to take this course residentially,Residential,
428,BUSI 450,Database Management Systems,3,,,,,
429,BUSI 453,Applied Marketing Analysis,3,([BUSI 447] and [BUSI 467]),([BUSI 447] or BUSI 452),,Residential and Online,
430,BUSI 454,Practical Analytics,3,([BUSI 334] and [BUSI 341]),,,Residential and Online,
431,BUSI 455,Conflict Resolution and Negotiation,3,([BUSI 240]),([BUSI 310]),,Residential and Online,
432,BUSI 456,Growth Enterprise: Strategy and Planning,3,([ACCT 212] and [BUSI 336]),,,Residential and Online,
433,BUSI 457,Strategic Management in Healthcare Systems,3,([BUSI 448] or [BUSI 449]),,,Residential and Online,
434,BUSI 458,Innovating into Industries and Markets,3,([BUSI 336]),([BUSI 336] and [BUSI 338] and [BUSI 456]),,Residential and Online,
435,BUSI 459,Donor Development and Fundraising,3,,,,Residential,
436,BUSI 460,Advanced Financial Management,3,([ACCT 301] and [BUSI 320]),,Senior Status.,Residential and Online,
437,BUSI 461,Advanced Professional Selling,3,([BUSI 431]),,,Residential and Online,
438,BUSI 462,Sales Team and Market Data Management,3,([BUSI 305] and [BUSI 330]),,,Residential and Online,
439,BUSI 463,Sales Optimization,3,([BUSI 461]),,,Residential and Online,
440,BUSI 464,International Market Integration and Trade Agreements,3,([BUSI 303] or [BUSI 307]),,,Residential and Online,
441,BUSI 465,Export Management Strategy,3,([BUSI 303] and [BUSI 307]),([BUSI 303] or [BUSI 307]),,Residential and Online,
442,BUSI 467,Marketing Analytics,3,([BUSI 331]),,,Residential and Online,
443,BUSI 469,Leadership Essentials,3,([BUSI 240]),,,Residential,
444,BUSI 471,Supply Chain Technology and Analytics,3,,,,Residential,
445,BUSI 472,Organizational Ethics,3,,,,Residential and Online,
446,BUSI 473,Advanced Supply Chain Application and Policy,3,,,,Residential,
447,BUSI 474,Fixed Operations,3,,([ACCT 212] and [BUSI 370]),,Online,
448,BUSI 476,Variable Operations,3,,([BUSI 370] and [ACCT 212]),,Online,
449,BUSI 477,Humanitarian Affairs,3,,,,Residential,
450,BUSI 478,Leadership Skills for Franchise Owner,3,,([BUSI 372] and [BUSI 474] and [BUSI 476]),,Online,
451,BUSI 480,Principles of Property Management,3,,,,Online,
452,BUSI 481,Real Estate Investment Analysis,3,,,,Online,
453,BUSI 482,Real Estate Valuation,3,,,,Online,
454,BUSI 487,Humanitarian Aid Internship,3-6,,,,Residential,
455,BUSI 489,Capstone in Financial Planning,3,([BUSI 320] and [BUSI 352] and [BUSI 353] and [BUSI 354] and [BUSI 420] and [BUSI 421] and [ACCT 401]),,,Residential and Online,
456,BUSI 490,Capstone,3,(([BUSI 205] or Research Methods-BUS230/MAT201 with a score of 5) and [ACCT 370] and [BUSI 320]),,Senior status and should be taken in the last semester of coursework,Residential,BUSI 205will be waived for students on Degree Completion Plans prior to the catalog year of 2022-23 that have already takenBUSI 230orMATH 201
457,BUSI 494,Healthcare Administration Capstone,3,,([BUSI 323] and [BUSI 428] and [HLTH 485]),,Online,
458,BUSI 495,Directed Research,3,,,Written permission of the chairman of the department in area of concentration and consent of instructor,Residential,
459,BUSI 497,Special Topics in Business,3,,,,Residential and Online,
460,BUSI 498,Business Practicum,3,,,,Online,
461,BUSI 499,Business Internship,1-6,,,Junior or Senior standing and required GPA,Residential and Online,
462,CARP 101,Foundations in Carpentry,4,([CRFT 101]{concurrent}),,,Residential,
463,CARP 201,Intermediate Carpentry,4,([CARP 101] and [CRFT 101]),,,Residential,
464,CARP 301,Advanced Carpentry,4,([CARP 201] and [CRFT 101]),,,Residential,
465,CARP 401,Special Topics in Carpentry,4,([CARP 301] and [CRFT 101]),,,Residential,
466,CHEM 105,Elements of General Chemistry,4,,,,Residential,3 hours lecture; 2 hours lab
467,CHEM 107,Essentials of General and Organic Chemistry,4,([MATH 110]{concurrent} or [MATH 201]{concurrent} or [BUSI 230] or ACT Math with a score of 20 or SAT Section Math with a score of 570 or [MATH 108]{concurrent} or Assessment - Mathematics II with a score of 15 or [MATH 121]{concurrent} or [MATH 131]{concurrent} or [MATH 132]{concurrent} or [MATH 126]{concurrent} or Placement Score-Math with a score of 070),,,Residential,3 hours lecture; 2 hours lab
468,CHEM 107L,Essentials of General and Organic Chemistry Lab,0,([CHEM 107]{concurrent}),,,Residential,CHEM 107taken concurrently
469,CHEM 108,Chemistry for Health Science Professionals,4,([MATH 110]{concurrent} or [MATH 201]{concurrent} or [MATH 202]{concurrent} or [BUSI 230] or SAT Section Math with a score of 570 or ACT Math with a score of 20),,,Online,
470,CHEM 115,Essentials of General Chemistry,4,,(ACT Composite with a score of 20 or SAT Section Math with a score of 530 or Placement Score-Math with a score of 75 or [MATH 121] or [MATH 126] or [MATH 131] or [MATH 132]),,Online,"This course does not substitute forCHEM 121,131, or 135."
471,CHEM 121,General Chemistry I,4,([MATH 121] or [MATH 126] or [MATH 131] or [MATH 132] or ACT Composite with a score of 20 or SAT Section Math with a score of 530 or Placement Score-Math with a score of 75),,,Residential,3 hours lecture; 2 hours lab
472,CHEM 121L,General Chemistry I Lab,0,([CHEM 121]{concurrent}),,,Residential,CHEM 121taken concurrently
473,CHEM 122,General Chemistry II,4,([CHEM 121] and [CHEM 122L]{concurrent}),,,Residential,3 hours lecture; 2 hours lab
474,CHEM 122L,General Chemistry II Lab,0,([CHEM 121]),,,Residential,CHEM 122taken concurrently
475,CHEM 131,Advanced General Chemistry I,3,([MATH 121] or [MATH 125] or [MATH 130] or [MATH 131] or [MATH 132] or [MATH 201] or [MATH 217] or MATH 1XX or MATH 2XX or MATH 3XX or MATH 4XX or ACT Math with a score of 25 or MATH SECTION SCORE with a score of 580 or Placement Score-Math with a score of 75),,,Residential,Take concurrent withCHEM 135
