,0
112,https://catalog.liberty.edu/undergraduate/courses/phys/
113,https://catalog.liberty.edu/undergraduate/courses/plmb/
114,https://catalog.liberty.edu/undergraduate/courses/prth/
115,https://catalog.liberty.edu/undergraduate/courses/psyc/
116,https://catalog.liberty.edu/undergraduate/courses/padm/
117,https://catalog.liberty.edu/undergraduate/courses/rmgt/
118,https://catalog.liberty.edu/undergraduate/courses/rlgn/
119,https://catalog.liberty.edu/undergraduate/courses/rlst/
120,https://catalog.liberty.edu/undergraduate/courses/rsch/
121,https://catalog.liberty.edu/undergraduate/courses/resp/
122,https://catalog.liberty.edu/undergraduate/courses/russ/
123,https://catalog.liberty.edu/undergraduate/courses/guns/
124,https://catalog.liberty.edu/undergraduate/courses/sowk/
125,https://catalog.liberty.edu/undergraduate/courses/soci/
126,https://catalog.liberty.edu/undergraduate/courses/span/
127,https://catalog.liberty.edu/undergraduate/courses/cosp/
128,https://catalog.liberty.edu/undergraduate/courses/edsp/
129,https://catalog.liberty.edu/undergraduate/courses/scom/
130,https://catalog.liberty.edu/undergraduate/courses/smgt/
131,https://catalog.liberty.edu/undergraduate/courses/setm/
132,https://catalog.liberty.edu/undergraduate/courses/stat/
133,https://catalog.liberty.edu/undergraduate/courses/stco/
134,https://catalog.liberty.edu/undergraduate/courses/strg/
135,https://catalog.liberty.edu/undergraduate/courses/arts/
136,https://catalog.liberty.edu/undergraduate/courses/tesl/
137,https://catalog.liberty.edu/undergraduate/courses/thea/
138,https://catalog.liberty.edu/undergraduate/courses/theo/
139,https://catalog.liberty.edu/undergraduate/courses/tour/
140,https://catalog.liberty.edu/undergraduate/courses/univ/
141,https://catalog.liberty.edu/undergraduate/courses/weld/
142,https://catalog.liberty.edu/undergraduate/courses/wled/
143,https://catalog.liberty.edu/undergraduate/courses/wmus/
144,https://catalog.liberty.edu/undergraduate/courses/wrsp/
145,https://catalog.liberty.edu/undergraduate/courses/writ/
146,https://catalog.liberty.edu/undergraduate/courses/yout/
